"AIRLINE_ID","CARRIER_NAME","REGION",
19178,"Eastern Caribbean Airways","Domestic",
19179,"Eastern Carolina Aviation","Domestic",
19180,"Ede Aire","Domestic",
19181,"Executive Four Winds","Domestic",
19182,"Eagle Commuter Airlines Inc.","Domestic",
19183,"East Hampton Aire Inc.","Domestic",
19184,"East. Indiana Aviation Sale","Domestic",
19185,"Air Pacific Inc.","Domestic",
19186,"Erie Airways Inc.","Domestic",
19187,"Empire Aero Service","Domestic",
19188,"Evanston Aviation","Domestic",
19189,"Federal Armored Service Inc.","Domestic",
19190,"Young Flying Service","Domestic",
19191,"Southern Airlines Inc.","Domestic",
19192,"Florida Airlines Inc.","Domestic",
19193,"Freedom Airlines Inc.","Domestic",
19194,"Flamenco Airways Inc.","Domestic",
19195,"Ford-Aire Inc.","Domestic",
19196,"Foster Aviation","Domestic",
19197,"Skycraft Inc.","Domestic",
19198,"Far West Airlines","Domestic",
19199,"General Aviation Inc.","Domestic",
19200,"Gromer Aviation Inc.","Domestic",
19201,"Central States Airline","Domestic",
19202,"Golden Carriage Aire","Domestic",
19203,"Midway Commuter","Domestic",
19204,"Green Hills Aviation Ltd.","Domestic",
19205,"Green Mountain Airlines Ltd.","Domestic",
19206,"Copper State Airlines","Domestic",
19207,"Isle Royale Seaplane Serv.","Domestic",
19208,"Golden South Airlines Inc.","Domestic",
19209,"Gull Air Inc.","Domestic",
19210,"Gunnel Aviation Inc.","Domestic",
19211,"Ross Aviation Inc.","Domestic",
19212,"Heussler Air Service Corp","Domestic",
19213,"Hensley Flying Service Inc.","Domestic",
19214,"Long Island Airlines","Domestic",
19215,"Holiday Airlines Inc.","Domestic",
19216,"Iowa Airlines","Domestic",
19217,"Pacific Coast Airlines","Domestic",
19218,"Trans-National Airlines Haw","Domestic",
19219,"Scenic Airlines Inc.","Domestic",
19220,"Skystream Airlines","Domestic",
19221,"Hawking Corporation","Domestic",
19222,"Hyannis Aviation","Domestic",
19223,"Iowa City Flying Service","Domestic",
19224,"Idee Industries Inc.","Domestic",
19225,"Inland Empire Airlines Inc.","Domestic",
19226,"Indiana Airways Inc. (Pa)","Domestic",
19227,"Indo-Pacific International","Domestic",
19228,"Island Airlines","Domestic",
19229,"Sunbelt Airlines Inc.","Domestic",
19230,"Air Chico","Domestic",
19231,"Jer-Don Air","Domestic",
19232,"Knight Airlines Inc.","Domestic",
19233,"Key Airlines","Domestic",
19234,"Crown Air","Domestic",
19235,"Chaparral Airlines Inc.","Domestic",
19236,"Lancer Aviation Inc.","Domestic",
19237,"Lawrence Aviation","Domestic",
19238,"Havasu Airlines","Domestic",
19239,"Lakeland Aviation","Domestic",
19240,"Aero Commuter","Domestic",
19241,"Las Vegas Airlines","Domestic",
19242,"Magum Airlines","Domestic",
19243,"The Maui Commuter","Domestic",
19244,"Marshall's Air Inc.","Domestic",
19245,"Maxair Inc.","Domestic",
19246,"Mid Continental Airlines In","Domestic",
19247,"Metro Airlines","Domestic",
19248,"Metroplex Airlines","Domestic",
19249,"Midway Aviation Inc.","Domestic",
19250,"Miller Air Transportersinc","Domestic",
19251,"Ocean Airways Inc.","Domestic",
19252,"Cumberland Airlines","Domestic",
19253,"Merrimack Aviation Inc.","Domestic",
19254,"Midwest Aviation","Domestic",
19255,"Arkansas Traveler Airline","Domestic",
19256,"Metroflight Airlines","Domestic",
