"NET_INCOME","AIRLINE_ID","CARRIER_NAME","QUARTER",
104497.52,19977,"United Air Lines Inc.",3,
107113.89,19690,"Hawaiian Airlines Inc.",3,
112369.69,20368,"Allegiant Air",1,
115350.03,19805,"American Airlines Inc.",3,
117818.59,19977,"United Air Lines Inc.",2,
119008.16,20409,"JetBlue Airways",3,
131431.00,19790,"Delta Air Lines Inc.",1,
133739.45,20409,"JetBlue Airways",1,
143662.00,19790,"Delta Air Lines Inc.",3,
146537.64,20409,"JetBlue Airways",2,
176846.00,19930,"Alaska Airlines Inc.",1,
177630.32,19805,"American Airlines Inc.",3,
191732.10,19977,"United Air Lines Inc.",3,
254065.00,19930,"Alaska Airlines Inc.",2,
256931.00,19930,"Alaska Airlines Inc.",3,
277899.48,19805,"American Airlines Inc.",2,
292319.58,19805,"American Airlines Inc.",2,
298509.33,19805,"American Airlines Inc.",2,
306731.02,19805,"American Airlines Inc.",1,
315686.49,19805,"American Airlines Inc.",1,
324665.57,19977,"United Air Lines Inc.",1,
329026.00,19790,"Delta Air Lines Inc.",3,
344923.00,19790,"Delta Air Lines Inc.",2,
381219.00,19393,"Southwest Airlines Co.",3,
492519.55,19805,"American Airlines Inc.",3,
501366.00,19393,"Southwest Airlines Co.",1,
508457.96,19977,"United Air Lines Inc.",2,
620423.58,19977,"United Air Lines Inc.",3,
727934.00,19790,"Delta Air Lines Inc.",1,
730844.00,19790,"Delta Air Lines Inc.",3,
733049.00,20107,"Federal Express Corporation",1,
734632.00,20107,"Federal Express Corporation",3,
804234.00,19393,"Southwest Airlines Co.",2,
844956.00,20107,"Federal Express Corporation",2,
1050593.00,19790,"Delta Air Lines Inc.",2,
