Name of Restaurant,City,Country Code,Day of week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
1 Abercrombie Lane,Sydney,AU,0,17,00,22,00
1 Abercrombie Lane,Sydney,AU,1,17,00,22,00
1 Abercrombie Lane,Sydney,AU,2,17,00,22,00
1 Abercrombie Lane,Sydney,AU,3,17,00,22,00
1 Abercrombie Lane,Sydney,AU,4,17,00,22,30
1 Abercrombie Lane,Sydney,AU,5,10,00,15,00
1 Abercrombie Lane,Sydney,AU,5,17,00,22,30
1 Abercrombie Lane,Sydney,AU,6,10,00,15,00
#1 Chicken Rice & Seafood,Houston,US,0,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,1,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,2,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,3,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,4,17,00,22,30
#1 Chicken Rice & Seafood,Houston,US,5,10,00,15,00
#1 Chicken Rice & Seafood,Houston,US,5,17,00,22,30
#1 Chicken Rice & Seafood,Houston,US,6,10,00,15,00
#1 Chinese Kitchen,San Jose,US,0,17,00,22,00
#1 Chinese Kitchen,San Jose,US,1,17,00,22,00
#1 Chinese Kitchen,San Jose,US,2,17,00,22,00
#1 Chinese Kitchen,San Jose,US,3,17,00,22,00
#1 Chinese Kitchen,San Jose,US,4,17,00,22,30
#1 Chinese Kitchen,San Jose,US,5,10,00,15,00
#1 Chinese Kitchen,San Jose,US,5,17,00,22,30
#1 Chinese Kitchen,San Jose,US,6,10,00,15,00
10' Custom Pizzeria,Braddon,AU,0,17,00,22,00
10' Custom Pizzeria,Braddon,AU,1,17,00,22,00
10' Custom Pizzeria,Braddon,AU,2,17,00,22,00
10' Custom Pizzeria,Braddon,AU,3,17,00,22,00
10' Custom Pizzeria,Braddon,AU,4,17,00,22,30
10' Custom Pizzeria,Braddon,AU,5,10,00,15,00
10' Custom Pizzeria,Braddon,AU,5,17,00,22,30
10' Custom Pizzeria,Braddon,AU,6,10,00,15,00
10 Greek Street,London,GB,0,17,00,22,00
10 Greek Street,London,GB,1,17,00,22,00
10 Greek Street,London,GB,2,17,00,22,00
10 Greek Street,London,GB,3,17,00,22,00
10 Greek Street,London,GB,4,17,00,22,30
10 Greek Street,London,GB,5,10,00,15,00
10 Greek Street,London,GB,5,17,00,22,30
10 Greek Street,London,GB,6,10,00,15,00
100% de Agave,Denver,US,0,17,00,22,00
100% de Agave,Denver,US,1,17,00,22,00
100% de Agave,Denver,US,2,17,00,22,00
100% de Agave,Denver,US,3,17,00,22,00
100% de Agave,Denver,US,4,17,00,22,30
100% de Agave,Denver,US,5,10,00,15,00
100% de Agave,Denver,US,5,17,00,22,30
100% de Agave,Denver,US,6,10,00,15,00
100 Hoxton,London,GB,0,17,00,22,00
100 Hoxton,London,GB,1,17,00,22,00
100 Hoxton,London,GB,2,17,00,22,00
100 Hoxton,London,GB,3,17,00,22,00
100 Hoxton,London,GB,4,17,00,22,30
100 Hoxton,London,GB,5,10,00,15,00
100 Hoxton,London,GB,5,17,00,22,30
100 Hoxton,London,GB,6,10,00,15,00
11 Inch Pizza,Melbourne,AU,0,17,00,22,00
11 Inch Pizza,Melbourne,AU,1,17,00,22,00
11 Inch Pizza,Melbourne,AU,2,17,00,22,00
11 Inch Pizza,Melbourne,AU,3,17,00,22,00
11 Inch Pizza,Melbourne,AU,4,17,00,22,30
11 Inch Pizza,Melbourne,AU,5,10,00,15,00
11 Inch Pizza,Melbourne,AU,5,17,00,22,30
11 Inch Pizza,Melbourne,AU,6,10,00,15,00
111 by Nico,Glasgow,GB,0,17,00,22,00
111 by Nico,Glasgow,GB,1,17,00,22,00
111 by Nico,Glasgow,GB,2,17,00,22,00
111 by Nico,Glasgow,GB,3,17,00,22,00
111 by Nico,Glasgow,GB,4,17,00,22,30
111 by Nico,Glasgow,GB,5,10,00,15,00
111 by Nico,Glasgow,GB,5,17,00,22,30
111 by Nico,Glasgow,GB,6,10,00,15,00
127 Bar and Bistro,Brisbane,AU,0,17,00,22,00
127 Bar and Bistro,Brisbane,AU,1,17,00,22,00
127 Bar and Bistro,Brisbane,AU,2,17,00,22,00
127 Bar and Bistro,Brisbane,AU,3,17,00,22,00
127 Bar and Bistro,Brisbane,AU,4,17,00,22,30
127 Bar and Bistro,Brisbane,AU,5,10,00,15,00
127 Bar and Bistro,Brisbane,AU,5,17,00,22,30
127 Bar and Bistro,Brisbane,AU,6,10,00,15,00
13 North Grille,Phoenix,US,0,17,00,22,00
13 North Grille,Phoenix,US,1,17,00,22,00
13 North Grille,Phoenix,US,2,17,00,22,00
13 North Grille,Phoenix,US,3,17,00,22,00
13 North Grille,Phoenix,US,4,17,00,22,30
13 North Grille,Phoenix,US,5,10,00,15,00
13 North Grille,Phoenix,US,5,17,00,22,30
13 North Grille,Phoenix,US,6,10,00,15,00
13th Note,Glasgow,GB,0,17,00,22,00
13th Note,Glasgow,GB,1,17,00,22,00
13th Note,Glasgow,GB,2,17,00,22,00
13th Note,Glasgow,GB,3,17,00,22,00
13th Note,Glasgow,GB,4,17,00,22,30
13th Note,Glasgow,GB,5,10,00,15,00
13th Note,Glasgow,GB,5,17,00,22,30
13th Note,Glasgow,GB,6,10,00,15,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,0,17,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,1,17,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,2,17,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,3,17,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,4,17,00,22,30
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,5,10,00,15,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,5,17,00,22,30
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,6,10,00,15,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,0,17,00,22,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,1,17,00,22,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,2,17,00,22,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,3,17,00,22,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,4,17,00,22,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,5,10,00,15,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,5,17,00,22,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,6,10,00,15,00
1760,San Francisco,US,0,17,00,22,00
1760,San Francisco,US,1,17,00,22,00
1760,San Francisco,US,2,17,00,22,00
1760,San Francisco,US,3,17,00,22,00
1760,San Francisco,US,4,17,00,22,30
1760,San Francisco,US,5,10,00,15,00
1760,San Francisco,US,5,17,00,22,30
1760,San Francisco,US,6,10,00,15,00
1806,Melbourne,AU,0,17,00,22,00
1806,Melbourne,AU,1,17,00,22,00
1806,Melbourne,AU,2,17,00,22,00
1806,Melbourne,AU,3,17,00,22,00
1806,Melbourne,AU,4,17,00,22,30
1806,Melbourne,AU,5,10,00,15,00
1806,Melbourne,AU,5,17,00,22,30
1806,Melbourne,AU,6,10,00,15,00
1907 Restaurant,Perth,AU,0,17,00,22,00
1907 Restaurant,Perth,AU,1,17,00,22,00
1907 Restaurant,Perth,AU,2,17,00,22,00
1907 Restaurant,Perth,AU,3,17,00,22,00
1907 Restaurant,Perth,AU,4,17,00,22,30
1907 Restaurant,Perth,AU,5,10,00,15,00
1907 Restaurant,Perth,AU,5,17,00,22,30
1907 Restaurant,Perth,AU,6,10,00,15,00
1912 Dining Bar,Sydney,AU,0,17,00,22,00
1912 Dining Bar,Sydney,AU,1,17,00,22,00
1912 Dining Bar,Sydney,AU,2,17,00,22,00
1912 Dining Bar,Sydney,AU,3,17,00,22,00
1912 Dining Bar,Sydney,AU,4,17,00,22,30
1912 Dining Bar,Sydney,AU,5,10,00,15,00
1912 Dining Bar,Sydney,AU,5,17,00,22,30
1912 Dining Bar,Sydney,AU,6,10,00,15,00
1917 American Bistro,Detroit,US,0,17,00,22,00
1917 American Bistro,Detroit,US,1,17,00,22,00
1917 American Bistro,Detroit,US,2,17,00,22,00
1917 American Bistro,Detroit,US,3,17,00,22,00
1917 American Bistro,Detroit,US,4,17,00,22,30
1917 American Bistro,Detroit,US,5,10,00,15,00
1917 American Bistro,Detroit,US,5,17,00,22,30
1917 American Bistro,Detroit,US,6,10,00,15,00
2 Amys Neapolitan Pizzeria,Washington,US,0,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,1,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,2,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,3,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,US,4,17,00,22,30
2 Amys Neapolitan Pizzeria,Washington,US,5,10,00,15,00
2 Amys Neapolitan Pizzeria,Washington,US,5,17,00,22,30
2 Amys Neapolitan Pizzeria,Washington,US,6,10,00,15,00
20 Spot,San Francisco,US,0,17,00,22,00
20 Spot,San Francisco,US,1,17,00,22,00
20 Spot,San Francisco,US,2,17,00,22,00
20 Spot,San Francisco,US,3,17,00,22,00
20 Spot,San Francisco,US,4,17,00,22,30
20 Spot,San Francisco,US,5,10,00,15,00
20 Spot,San Francisco,US,5,17,00,22,30
20 Spot,San Francisco,US,6,10,00,15,00
204 North Kitchen & Cocktails,Charlotte,US,0,17,00,22,00
204 North Kitchen & Cocktails,Charlotte,US,1,17,00,22,00
204 North Kitchen & Cocktails,Charlotte,US,2,17,00,22,00
204 North Kitchen & Cocktails,Charlotte,US,3,17,00,22,00
204 North Kitchen & Cocktails,Charlotte,US,4,17,00,22,30
204 North Kitchen & Cocktails,Charlotte,US,5,10,00,15,00
204 North Kitchen & Cocktails,Charlotte,US,5,17,00,22,30
204 North Kitchen & Cocktails,Charlotte,US,6,10,00,15,00
20th Street Café,Denver,US,0,17,00,22,00
20th Street Café,Denver,US,1,17,00,22,00
20th Street Café,Denver,US,2,17,00,22,00
20th Street Café,Denver,US,3,17,00,22,00
20th Street Café,Denver,US,4,17,00,22,30
20th Street Café,Denver,US,5,10,00,15,00
20th Street Café,Denver,US,5,17,00,22,30
20th Street Café,Denver,US,6,10,00,15,00
21 Shanghai House,New York,US,0,17,00,22,00
21 Shanghai House,New York,US,1,17,00,22,00
21 Shanghai House,New York,US,2,17,00,22,00
21 Shanghai House,New York,US,3,17,00,22,00
21 Shanghai House,New York,US,4,17,00,22,30
21 Shanghai House,New York,US,5,10,00,15,00
21 Shanghai House,New York,US,5,17,00,22,30
21 Shanghai House,New York,US,6,10,00,15,00
24grille,Detroit,US,0,17,00,22,00
24grille,Detroit,US,1,17,00,22,00
24grille,Detroit,US,2,17,00,22,00
24grille,Detroit,US,3,17,00,22,00
24grille,Detroit,US,4,17,00,22,30
24grille,Detroit,US,5,10,00,15,00
24grille,Detroit,US,5,17,00,22,30
24grille,Detroit,US,6,10,00,15,00
259 Cafe,Perth,AU,0,17,00,22,00
259 Cafe,Perth,AU,1,17,00,22,00
259 Cafe,Perth,AU,2,17,00,22,00
259 Cafe,Perth,AU,3,17,00,22,00
259 Cafe,Perth,AU,4,17,00,22,30
259 Cafe,Perth,AU,5,10,00,15,00
259 Cafe,Perth,AU,5,17,00,22,30
259 Cafe,Perth,AU,6,10,00,15,00
26 grains,London,GB,0,17,00,22,00
26 grains,London,GB,1,17,00,22,00
26 grains,London,GB,2,17,00,22,00
26 grains,London,GB,3,17,00,22,00
26 grains,London,GB,4,17,00,22,30
26 grains,London,GB,5,10,00,15,00
26 grains,London,GB,5,17,00,22,30
26 grains,London,GB,6,10,00,15,00
2nd City,New York,US,0,17,00,22,00
2nd City,New York,US,1,17,00,22,00
2nd City,New York,US,2,17,00,22,00
2nd City,New York,US,3,17,00,22,00
2nd City,New York,US,4,17,00,22,30
2nd City,New York,US,5,10,00,15,00
2nd City,New York,US,5,17,00,22,30
2nd City,New York,US,6,10,00,15,00
3 Arts Club Cafe,Chicago,US,0,17,00,22,00
3 Arts Club Cafe,Chicago,US,1,17,00,22,00
3 Arts Club Cafe,Chicago,US,2,17,00,22,00
3 Arts Club Cafe,Chicago,US,3,17,00,22,00
3 Arts Club Cafe,Chicago,US,4,17,00,22,30
3 Arts Club Cafe,Chicago,US,5,10,00,15,00
3 Arts Club Cafe,Chicago,US,5,17,00,22,30
3 Arts Club Cafe,Chicago,US,6,10,00,15,00
3 Bro's Kabab House,Houston,US,0,17,00,22,00
3 Bro's Kabab House,Houston,US,1,17,00,22,00
3 Bro's Kabab House,Houston,US,2,17,00,22,00
3 Bro's Kabab House,Houston,US,3,17,00,22,00
3 Bro's Kabab House,Houston,US,4,17,00,22,30
3 Bro's Kabab House,Houston,US,5,10,00,15,00
3 Bro's Kabab House,Houston,US,5,17,00,22,30
3 Bro's Kabab House,Houston,US,6,10,00,15,00
3 Greeks Grill,Long Island City,US,0,17,00,22,00
3 Greeks Grill,Long Island City,US,1,17,00,22,00
3 Greeks Grill,Long Island City,US,2,17,00,22,00
3 Greeks Grill,Long Island City,US,3,17,00,22,00
3 Greeks Grill,Long Island City,US,4,17,00,22,30
3 Greeks Grill,Long Island City,US,5,10,00,15,00
3 Greeks Grill,Long Island City,US,5,17,00,22,30
3 Greeks Grill,Long Island City,US,6,10,00,15,00
3 Wise Monkeys Pub,Sydney,AU,0,17,00,22,00
3 Wise Monkeys Pub,Sydney,AU,1,17,00,22,00
3 Wise Monkeys Pub,Sydney,AU,2,17,00,22,00
3 Wise Monkeys Pub,Sydney,AU,3,17,00,22,00
3 Wise Monkeys Pub,Sydney,AU,4,17,00,22,30
3 Wise Monkeys Pub,Sydney,AU,5,10,00,15,00
3 Wise Monkeys Pub,Sydney,AU,5,17,00,22,30
3 Wise Monkeys Pub,Sydney,AU,6,10,00,15,00
32 Shea,Phoenix,US,0,17,00,22,00
32 Shea,Phoenix,US,1,17,00,22,00
32 Shea,Phoenix,US,2,17,00,22,00
32 Shea,Phoenix,US,3,17,00,22,00
32 Shea,Phoenix,US,4,17,00,22,30
32 Shea,Phoenix,US,5,10,00,15,00
32 Shea,Phoenix,US,5,17,00,22,30
32 Shea,Phoenix,US,6,10,00,15,00
360 Bar and Restaurant,Sydney,AU,0,17,00,22,00
360 Bar and Restaurant,Sydney,AU,1,17,00,22,00
360 Bar and Restaurant,Sydney,AU,2,17,00,22,00
360 Bar and Restaurant,Sydney,AU,3,17,00,22,00
360 Bar and Restaurant,Sydney,AU,4,17,00,22,30
360 Bar and Restaurant,Sydney,AU,5,10,00,15,00
360 Bar and Restaurant,Sydney,AU,5,17,00,22,30
360 Bar and Restaurant,Sydney,AU,6,10,00,15,00
38 Espresso,Kingston,AU,0,17,00,22,00
38 Espresso,Kingston,AU,1,17,00,22,00
38 Espresso,Kingston,AU,2,17,00,22,00
38 Espresso,Kingston,AU,3,17,00,22,00
38 Espresso,Kingston,AU,4,17,00,22,30
38 Espresso,Kingston,AU,5,10,00,15,00
38 Espresso,Kingston,AU,5,17,00,22,30
38 Espresso,Kingston,AU,6,10,00,15,00
+39 Pizzeria,Melbourne,AU,0,17,00,22,00
+39 Pizzeria,Melbourne,AU,1,17,00,22,00
+39 Pizzeria,Melbourne,AU,2,17,00,22,00
+39 Pizzeria,Melbourne,AU,3,17,00,22,00
+39 Pizzeria,Melbourne,AU,4,17,00,22,30
+39 Pizzeria,Melbourne,AU,5,10,00,15,00
+39 Pizzeria,Melbourne,AU,5,17,00,22,30
+39 Pizzeria,Melbourne,AU,6,10,00,15,00
3rd Cousin,San Francisco,US,0,17,00,22,00
3rd Cousin,San Francisco,US,1,17,00,22,00
3rd Cousin,San Francisco,US,2,17,00,22,00
3rd Cousin,San Francisco,US,3,17,00,22,00
3rd Cousin,San Francisco,US,4,17,00,22,30
3rd Cousin,San Francisco,US,5,10,00,15,00
3rd Cousin,San Francisco,US,5,17,00,22,30
3rd Cousin,San Francisco,US,6,10,00,15,00
45 Jermyn St,London,GB,0,17,00,22,00
45 Jermyn St,London,GB,1,17,00,22,00
45 Jermyn St,London,GB,2,17,00,22,00
45 Jermyn St,London,GB,3,17,00,22,00
45 Jermyn St,London,GB,4,17,00,22,30
45 Jermyn St,London,GB,5,10,00,15,00
45 Jermyn St,London,GB,5,17,00,22,30
45 Jermyn St,London,GB,6,10,00,15,00
4Fourteen,Surry Hills,AU,0,17,00,22,00
4Fourteen,Surry Hills,AU,1,17,00,22,00
4Fourteen,Surry Hills,AU,2,17,00,22,00
4Fourteen,Surry Hills,AU,3,17,00,22,00
4Fourteen,Surry Hills,AU,4,17,00,22,30
4Fourteen,Surry Hills,AU,5,10,00,15,00
4Fourteen,Surry Hills,AU,5,17,00,22,30
4Fourteen,Surry Hills,AU,6,10,00,15,00
5 & Dime Bagels,Melbourne,AU,0,17,00,22,00
5 & Dime Bagels,Melbourne,AU,1,17,00,22,00
5 & Dime Bagels,Melbourne,AU,2,17,00,22,00
5 & Dime Bagels,Melbourne,AU,3,17,00,22,00
5 & Dime Bagels,Melbourne,AU,4,17,00,22,30
5 & Dime Bagels,Melbourne,AU,5,10,00,15,00
5 & Dime Bagels,Melbourne,AU,5,17,00,22,30
5 & Dime Bagels,Melbourne,AU,6,10,00,15,00
5 Boroughs,Brisbane,AU,0,17,00,22,00
5 Boroughs,Brisbane,AU,1,17,00,22,00
5 Boroughs,Brisbane,AU,2,17,00,22,00
5 Boroughs,Brisbane,AU,3,17,00,22,00
5 Boroughs,Brisbane,AU,4,17,00,22,30
5 Boroughs,Brisbane,AU,5,10,00,15,00
5 Boroughs,Brisbane,AU,5,17,00,22,30
5 Boroughs,Brisbane,AU,6,10,00,15,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,0,17,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,1,17,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,2,17,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,3,17,00,22,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,4,17,00,22,30
5 Rabanitos Restaurante and Taqueria,Chicago,US,5,10,00,15,00
5 Rabanitos Restaurante and Taqueria,Chicago,US,5,17,00,22,30
5 Rabanitos Restaurante and Taqueria,Chicago,US,6,10,00,15,00
5 Spices House,Boston,US,0,17,00,22,00
5 Spices House,Boston,US,1,17,00,22,00
5 Spices House,Boston,US,2,17,00,22,00
5 Spices House,Boston,US,3,17,00,22,00
5 Spices House,Boston,US,4,17,00,22,30
5 Spices House,Boston,US,5,10,00,15,00
5 Spices House,Boston,US,5,17,00,22,30
5 Spices House,Boston,US,6,10,00,15,00
5 Spot,Seattle,US,0,17,00,22,00
5 Spot,Seattle,US,1,17,00,22,00
5 Spot,Seattle,US,2,17,00,22,00
5 Spot,Seattle,US,3,17,00,22,00
5 Spot,Seattle,US,4,17,00,22,30
5 Spot,Seattle,US,5,10,00,15,00
5 Spot,Seattle,US,5,17,00,22,30
5 Spot,Seattle,US,6,10,00,15,00
500 Degrees New York Style Pizzeria,Charlotte,US,0,17,00,22,00
500 Degrees New York Style Pizzeria,Charlotte,US,1,17,00,22,00
500 Degrees New York Style Pizzeria,Charlotte,US,2,17,00,22,00
500 Degrees New York Style Pizzeria,Charlotte,US,3,17,00,22,00
500 Degrees New York Style Pizzeria,Charlotte,US,4,17,00,22,30
500 Degrees New York Style Pizzeria,Charlotte,US,5,10,00,15,00
500 Degrees New York Style Pizzeria,Charlotte,US,5,17,00,22,30
500 Degrees New York Style Pizzeria,Charlotte,US,6,10,00,15,00
50's Diner Omelet House,Las Vegas,US,0,17,00,22,00
50's Diner Omelet House,Las Vegas,US,1,17,00,22,00
50's Diner Omelet House,Las Vegas,US,2,17,00,22,00
50's Diner Omelet House,Las Vegas,US,3,17,00,22,00
50's Diner Omelet House,Las Vegas,US,4,17,00,22,30
50's Diner Omelet House,Las Vegas,US,5,10,00,15,00
50's Diner Omelet House,Las Vegas,US,5,17,00,22,30
50's Diner Omelet House,Las Vegas,US,6,10,00,15,00
5280 Burger Bar,Denver,US,0,17,00,22,00
5280 Burger Bar,Denver,US,1,17,00,22,00
5280 Burger Bar,Denver,US,2,17,00,22,00
5280 Burger Bar,Denver,US,3,17,00,22,00
5280 Burger Bar,Denver,US,4,17,00,22,30
5280 Burger Bar,Denver,US,5,10,00,15,00
5280 Burger Bar,Denver,US,5,17,00,22,30
5280 Burger Bar,Denver,US,6,10,00,15,00
5280 Sliders,Denver,US,0,17,00,22,00
5280 Sliders,Denver,US,1,17,00,22,00
5280 Sliders,Denver,US,2,17,00,22,00
5280 Sliders,Denver,US,3,17,00,22,00
5280 Sliders,Denver,US,4,17,00,22,30
5280 Sliders,Denver,US,5,10,00,15,00
5280 Sliders,Denver,US,5,17,00,22,30
5280 Sliders,Denver,US,6,10,00,15,00
580 Bench,Melbourne,AU,0,17,00,22,00
580 Bench,Melbourne,AU,1,17,00,22,00
580 Bench,Melbourne,AU,2,17,00,22,00
580 Bench,Melbourne,AU,3,17,00,22,00
580 Bench,Melbourne,AU,4,17,00,22,30
580 Bench,Melbourne,AU,5,10,00,15,00
580 Bench,Melbourne,AU,5,17,00,22,30
580 Bench,Melbourne,AU,6,10,00,15,00
5Church,Charlotte,US,0,17,00,22,00
5Church,Charlotte,US,1,17,00,22,00
5Church,Charlotte,US,2,17,00,22,00
5Church,Charlotte,US,3,17,00,22,00
5Church,Charlotte,US,4,17,00,22,30
5Church,Charlotte,US,5,10,00,15,00
5Church,Charlotte,US,5,17,00,22,30
5Church,Charlotte,US,6,10,00,15,00
62 Rokujuni,Sydney,AU,0,17,00,22,00
62 Rokujuni,Sydney,AU,1,17,00,22,00
62 Rokujuni,Sydney,AU,2,17,00,22,00
62 Rokujuni,Sydney,AU,3,17,00,22,00
62 Rokujuni,Sydney,AU,4,17,00,22,30
62 Rokujuni,Sydney,AU,5,10,00,15,00
62 Rokujuni,Sydney,AU,5,17,00,22,30
62 Rokujuni,Sydney,AU,6,10,00,15,00
678 Korean Bbq,Sydney,AU,0,17,00,22,00
678 Korean Bbq,Sydney,AU,1,17,00,22,00
678 Korean Bbq,Sydney,AU,2,17,00,22,00
678 Korean Bbq,Sydney,AU,3,17,00,22,00
678 Korean Bbq,Sydney,AU,4,17,00,22,30
678 Korean Bbq,Sydney,AU,5,10,00,15,00
678 Korean Bbq,Sydney,AU,5,17,00,22,30
678 Korean Bbq,Sydney,AU,6,10,00,15,00
6th Avenue Eats,Seattle,US,0,17,00,22,00
6th Avenue Eats,Seattle,US,1,17,00,22,00
6th Avenue Eats,Seattle,US,2,17,00,22,00
6th Avenue Eats,Seattle,US,3,17,00,22,00
6th Avenue Eats,Seattle,US,4,17,00,22,30
6th Avenue Eats,Seattle,US,5,10,00,15,00
6th Avenue Eats,Seattle,US,5,17,00,22,30
6th Avenue Eats,Seattle,US,6,10,00,15,00
7 Leguas Mexican Grille,Denver,US,0,17,00,22,00
7 Leguas Mexican Grille,Denver,US,1,17,00,22,00
7 Leguas Mexican Grille,Denver,US,2,17,00,22,00
7 Leguas Mexican Grille,Denver,US,3,17,00,22,00
7 Leguas Mexican Grille,Denver,US,4,17,00,22,30
7 Leguas Mexican Grille,Denver,US,5,10,00,15,00
7 Leguas Mexican Grille,Denver,US,5,17,00,22,30
7 Leguas Mexican Grille,Denver,US,6,10,00,15,00
7 Leguas Mexican Grille,Denver,US,0,17,00,22,00
7 Leguas Mexican Grille,Denver,US,1,17,00,22,00
7 Leguas Mexican Grille,Denver,US,2,17,00,22,00
7 Leguas Mexican Grille,Denver,US,3,17,00,22,00
7 Leguas Mexican Grille,Denver,US,4,17,00,22,30
7 Leguas Mexican Grille,Denver,US,5,10,00,15,00
7 Leguas Mexican Grille,Denver,US,5,17,00,22,30
7 Leguas Mexican Grille,Denver,US,6,10,00,15,00
75 on Liberty Wharf,Boston,US,0,17,00,22,00
75 on Liberty Wharf,Boston,US,1,17,00,22,00
75 on Liberty Wharf,Boston,US,2,17,00,22,00
75 on Liberty Wharf,Boston,US,3,17,00,22,00
75 on Liberty Wharf,Boston,US,4,17,00,22,30
75 on Liberty Wharf,Boston,US,5,10,00,15,00
75 on Liberty Wharf,Boston,US,5,17,00,22,30
75 on Liberty Wharf,Boston,US,6,10,00,15,00
7th & Bake Patisserie Cafe,Canberra,AU,0,17,00,22,00
7th & Bake Patisserie Cafe,Canberra,AU,1,17,00,22,00
7th & Bake Patisserie Cafe,Canberra,AU,2,17,00,22,00
7th & Bake Patisserie Cafe,Canberra,AU,3,17,00,22,00
7th & Bake Patisserie Cafe,Canberra,AU,4,17,00,22,30
7th & Bake Patisserie Cafe,Canberra,AU,5,10,00,15,00
7th & Bake Patisserie Cafe,Canberra,AU,5,17,00,22,30
7th & Bake Patisserie Cafe,Canberra,AU,6,10,00,15,00
7th District,Charlotte,US,0,17,00,22,00
7th District,Charlotte,US,1,17,00,22,00
7th District,Charlotte,US,2,17,00,22,00
7th District,Charlotte,US,3,17,00,22,00
7th District,Charlotte,US,4,17,00,22,30
7th District,Charlotte,US,5,10,00,15,00
7th District,Charlotte,US,5,17,00,22,30
7th District,Charlotte,US,6,10,00,15,00
8 Hoxton Square,London,GB,0,17,00,22,00
8 Hoxton Square,London,GB,1,17,00,22,00
8 Hoxton Square,London,GB,2,17,00,22,00
8 Hoxton Square,London,GB,3,17,00,22,00
8 Hoxton Square,London,GB,4,17,00,22,30
8 Hoxton Square,London,GB,5,10,00,15,00
8 Hoxton Square,London,GB,5,17,00,22,30
8 Hoxton Square,London,GB,6,10,00,15,00
800 Degrees,Las Vegas,US,0,17,00,22,00
800 Degrees,Las Vegas,US,1,17,00,22,00
800 Degrees,Las Vegas,US,2,17,00,22,00
800 Degrees,Las Vegas,US,3,17,00,22,00
800 Degrees,Las Vegas,US,4,17,00,22,30
800 Degrees,Las Vegas,US,5,10,00,15,00
800 Degrees,Las Vegas,US,5,17,00,22,30
800 Degrees,Las Vegas,US,6,10,00,15,00
888 Chinese Restaurant,Houston,US,0,17,00,22,00
888 Chinese Restaurant,Houston,US,1,17,00,22,00
888 Chinese Restaurant,Houston,US,2,17,00,22,00
888 Chinese Restaurant,Houston,US,3,17,00,22,00
888 Chinese Restaurant,Houston,US,4,17,00,22,30
888 Chinese Restaurant,Houston,US,5,10,00,15,00
888 Chinese Restaurant,Houston,US,5,17,00,22,30
888 Chinese Restaurant,Houston,US,6,10,00,15,00
8Bit,Melbourne,AU,0,17,00,22,00
8Bit,Melbourne,AU,1,17,00,22,00
8Bit,Melbourne,AU,2,17,00,22,00
8Bit,Melbourne,AU,3,17,00,22,00
8Bit,Melbourne,AU,4,17,00,22,30
8Bit,Melbourne,AU,5,10,00,15,00
8Bit,Melbourne,AU,5,17,00,22,30
8Bit,Melbourne,AU,6,10,00,15,00
8Elements Perfect Indian Cuisine,San Jose,US,0,17,00,22,00
8Elements Perfect Indian Cuisine,San Jose,US,1,17,00,22,00
8Elements Perfect Indian Cuisine,San Jose,US,2,17,00,22,00
8Elements Perfect Indian Cuisine,San Jose,US,3,17,00,22,00
8Elements Perfect Indian Cuisine,San Jose,US,4,17,00,22,30
8Elements Perfect Indian Cuisine,San Jose,US,5,10,00,15,00
8Elements Perfect Indian Cuisine,San Jose,US,5,17,00,22,30
8Elements Perfect Indian Cuisine,San Jose,US,6,10,00,15,00
8oz Burger & Co,Seattle,US,0,17,00,22,00
8oz Burger & Co,Seattle,US,1,17,00,22,00
8oz Burger & Co,Seattle,US,2,17,00,22,00
8oz Burger & Co,Seattle,US,3,17,00,22,00
8oz Burger & Co,Seattle,US,4,17,00,22,30
8oz Burger & Co,Seattle,US,5,10,00,15,00
8oz Burger & Co,Seattle,US,5,17,00,22,30
