,AIRLINE_ID,CARRIER_NAME
193,19224,Idee Industries Inc.
194,19225,Inland Empire Airlines Inc.
195,19226,Indiana Airways Inc. (Pa)
196,19227,Indo-Pacific International
197,19228,Island Airlines
198,19229,Sunbelt Airlines Inc.
199,19230,Air Chico
200,19231,Jer-Don Air
201,19232,Knight Airlines Inc.
202,19233,Key Airlines
203,19234,Crown Air
204,19235,Chaparral Airlines Inc.
205,19236,Lancer Aviation Inc.
206,19237,Lawrence Aviation
207,19238,Havasu Airlines
208,19239,Lakeland Aviation
209,19240,Aero Commuter
210,19241,Las Vegas Airlines
211,19242,Magum Airlines
212,19243,The Maui Commuter
213,19244,Marshall's Air Inc.
214,19245,Maxair Inc.
215,19246,Mid Continental Airlines In
216,19247,Metro Airlines
217,19248,Metroplex Airlines
218,19249,Midway Aviation Inc.
219,19250,Miller Air Transportersinc
220,19251,Ocean Airways Inc.
221,19252,Cumberland Airlines
222,19253,Merrimack Aviation Inc.
223,19254,Midwest Aviation
224,19255,Arkansas Traveler Airline
225,19256,Metroflight Airlines
226,19257,National Air Commuter Inc.
227,19258,New Born Wings Inc.
228,19259,Nor East Commuter Airlines
229,19260,Nevada Airlines
230,19261,Northern Eagle Airways Inc.
231,19262,Newair Flight Inc.
232,19263,N. J. Merrimack Airlines
233,19264,E. J. A. Newport Inc.
234,19265,Northaire
235,19266,Lake State Airways
236,19267,New York Helicopter Corp.
237,19268,Harbor Airlines Inc.
238,19269,Ocean Reef Airways Inc.
239,19270,Offshore Logistics
240,19271,Omaha Aviation
241,19272,Corporate Air Inc.
242,19273,Omak Aviation Airlines
243,19274,Omni Pacific Airline
244,19275,Sun Aire Lines
245,19276,Air Kentucky Air Lines
246,19277,Permian Airways Inc.
247,19278,Provincetown Boston
248,19279,Piasa Commuter Airlines
249,19280,Trans Southern Airways
250,19281,Pearson Aircraft
251,19282,Air Pennsylvania
252,19283,Petro Aviation Corp.
253,19284,Phillips Airlines
254,19285,Phoenix Airlines
255,19286,Pacific Island Airways
256,19287,Planes Inc.
257,19288,Polar Airways Inc.
258,19289,Pacific Missionary Aviation
259,19290,Pioneer Airways
260,19291,Pocono Airlines Inc.
261,19292,Pompano Airways
262,19293,Ponderosa Aviation Inc.
263,19294,Princeton Aviation Corp
264,19295,Pro Air Services
265,19296,Precision Valley Aviation
266,19297,Bar Harbor Airways
267,19298,Royal-Air Ltd.
268,19299,Realwest Airlines
269,19300,Aerosun International Airlines Inc.
270,19301,Royal Hawaiian Airways Inc.
271,19302,Richardson Aviation
272,19303,Indiana Airways Inc. (Reid
273,19304,Rio Airways Inc.
274,19305,Riverside Air Service
275,19306,Michigan Airways Inc.
276,19307,Roederer Aviation Inc.
277,19308,Royal American Airways Inc.
278,19309,Air Rovers Inc.
279,19310,Sajen Air Inc.
280,19311,Samoan Airlines Inc.
281,19312,Air Cortez International
282,19313,Air Americana
283,19314,Saber Aviation Inc.
284,19315,Suburban Airlines
285,19316,Seaco Airlines Inc.
286,19317,Skyline Airlines
287,19318,South Coast Airways
288,19319,Semo Aviation Inc.
289,19320,Stahmannfarms Inc.
290,19321,Sfo Helicopter Airlines Inc.
291,19322,Sierra Flite Service Inc.
292,19323,Shasta Air Inc.
293,19324,Shavano Air Inc.
294,19325,Silver State Airlines
295,19326,San Juan Airlines Inc.
296,19327,Bas Airlines
297,19328,Scheduled Skyways
298,19329,Stopher Mechanical Inc.
299,19330,Gelco Courier Services Inc.
